ID;Geologia;Crollo;Cord_X;Cord_Y;Quote;Aspect;Slope;Nord;East;PlanarC;ProfileC;TWI;WD;NGSS;FT;EWI
208;3;0;382918.783;5075126.801;2235.74;173.223;35.559;-0.993;-0.239;0.883;0.546;1.906;197.111;81.333;50.944;15.778
209;4;0;378493.881;5060145;2206.66;51.886;22.704;0.617;-0.282;-0.618;0.514;2.57;206.222;86.556;54.667;14.556
210;3;0;379393.68;5056883.972;2404.26;357.25;30.256;0.999;0.103;0.163;-0.407;2.111;176.833;93;56.167;14.944
211;5;0;391348.541;5088847.082;3248.58;132.019;38.016;-0.669;0.846;-0.999;0.791;2.059;267.056;116.889;78;15.278
212;6;0;394592.986;5077736.146;2044.78;332.515;18.882;0.887;0.616;-0.664;0.446;2.862;187.111;71.333;51.333;15.889
213;2;0;379904.713;5074924.064;2496.21;161.97;43.54;-0.951;0.034;-2.845;1.388;3.39;241.833;84.556;51.333;15.889
214;1;0;392754.599;5066312.828;543.854;334.783;43.885;0.905;-0.37;2.318;-0.857;0.284;185.944;56.833;21.556;13.444
215;3;0;379774.536;5056869.784;2496.65;258.429;32.673;-0.201;0.189;-1.803;-0.393;3.596;170.611;95.111;50.167;15.667
216;3;0;397731.928;5081965.825;3158.15;182.707;29.859;-0.999;-0.18;0.441;-0.531;3.361;227.5;104.667;72.333;15.667
217;3;0;397173.008;5083004.645;2751.41;277.053;31.529;0.123;0.181;-0.683;1.295;3.213;234.611;104.778;53.333;15.944
218;3;0;394712.626;5090026.683;2521.53;178.786;29.771;-1.000;-0.212;-0.729;0.308;2.301;285.222;107.556;53.556;15.444
219;1;0;397488.711;5086748.278;2754.01;292.639;11.428;0.385;-0.216;0.093;-1.32;1.906;249.278;98.167;60.722;16.556
220;1;0;395914.622;5089665.891;2555.09;300.66;24.443;0.510;0.277;-0.407;0.6;3.163;266.556;97.889;62.556;16.667
221;3;0;370032.887;5059671.398;2277.6;309.857;11.921;0.641;-0.478;0.091;0.319;2.557;147.944;75.944;48.778;14.778
222;4;0;377893.228;5059069.619;2550.71;71.616;29.249;0.315;-0.266;0.301;0.229;3.089;196.111;89.167;59.889;14.667
223;2;0;375602.209;5068658.213;1052.63;203.027;34.589;-0.920;0.229;0.332;-0.135;1.484;192.833;58.944;40.667;14.778
224;3;0;386740.584;5068376.16;1009.68;207.178;10.04;-0.890;0.799;0.59;-1.041;2.183;150.278;67.222;27.667;14.556
225;3;0;370804.479;5060618.697;2089.3;81.188;21.33;0.153;0.777;0.482;2.313;4.043;145.222;74.556;55;14.833
226;4;0;378009.664;5060503.007;2826.11;109.698;49.82;-0.337;-0.688;3.821;-4.307;0.318;206.222;86.556;54.167;14.556
227;2;0;388141.581;5081263.475;2861.93;169.816;27.886;-0.984;0.238;1.541;-0.289;1.007;248.389;107.333;56.611;15.167
228;5;0;383549.716;5080289.818;2853.15;164.362;21.129;-0.963;-0.074;-0.006;-0.766;3.151;253.444;100.278;57.333;14.222
229;1;0;385301.857;5058035.629;2448.79;234.28;35.767;-0.584;-0.06;-0.608;0.773;2.567;196.667;101.611;48.611;15.833
230;4;0;374505.897;5061048.284;2519.07;309.782;43.695;0.640;-0.069;0.241;3.844;2.472;158.556;78.333;50.833;14.778
231;2;0;386785.774;5078634.478;2755.02;134.515;31.946;-0.701;-0.626;0.842;0.012;2.241;247.278;99.444;50.833;14.333
232;1;0;374773.766;5062267.092;2264.37;88.714;27.967;0.022;0.216;-0.56;0.019;3.434;187.389;77.444;50.944;14.722
233;1;0;393946.068;5085867.001;2343.56;277.406;17.164;0.129;0.232;-1.226;0.654;2.885;243.222;109.722;53.222;15.056
234;2;0;392390.656;5089111.633;2857.18;173.346;49.978;-0.993;-0.221;-0.68;0.823;1.999;252.778;114.333;72.278;15.5
235;1;0;397782.23;5089175.804;2807.43;259.167;9.688;-0.188;-0.08;-0.223;0.082;6.593;269.333;102.222;62.833;17.278
236;1;0;397785.137;5089660.461;2958.99;200.321;26.832;-0.938;0.342;3.97;-0.83;0.844;269.333;102.222;69;17.278
237;3;0;381451.575;5055575.885;2446.81;80.3;16.326;0.168;-0.091;-2.042;0.729;4.779;183.111;99;61.833;15.944
238;1;0;399603.252;5089462.662;3257.71;229.943;25.085;-0.644;-0.524;1.303;-0.3;3.227;277.111;120.278;68.111;16.444
239;2;0;381141.818;5076237.404;2477.45;178.779;22.085;-1.000;-0.136;-0.619;1.066;2.782;248.167;87.5;47;15.5
240;1;0;375182.178;5062257.833;2018.25;90.064;40.311;-0.001;0.178;2.208;1.433;1.405;187.389;77.444;45.167;14.722
241;1;0;389008.646;5062792.942;2219.77;352.266;34.35;0.991;0.628;-0.281;-1.289;0.755;159;73.556;47.722;14.333
242;6;0;397612.476;5085784.817;3003.55;354.39;37.394;0.995;-0.613;-0.108;-0.654;1.77;249.278;98.167;63.222;16.556
243;3;0;397642.771;5068114.641;1295.11;286.096;17.878;0.277;-0.645;0.217;-0.68;1.348;166.611;73.333;39.889;15.278
244;5;0;376581.042;5073281.214;2543.09;43.411;39.314;0.726;0.66;-0.859;3.603;3.066;255.222;79.056;47.389;16.389
